ID,Name,State
1,BDBV_2007_FJ217161,A
2,BDBV_2012_KC545393,A
3,EBOV_1976_KC242801,B
4,EBOV_1994_KC242792,B
5,EBOV_1995_AY354458,B
6,EBOV_1996_KC242794,B
7,EBOV_2002_KC242800,B
8,EBOV_2007_HQ613403,B
9,EBOV_2014_EM095,B
10,RESTV_1990_AF522874,C
11,RESTV_1996_AB050936,C
12,RESTV_2008_FJ621583,C
13,RESTV_2008_FJ621584,C
14,RESTV_2008_FJ621585,C
15,SUDV_1976_FJ968794,D
16,SUDV_2000_AY729654,D
17,SUDV_2011_JN638998,D
18,SUDV_2012_KC545389,D
19,SUDV_2012_KC589025,D
20,TAFV_1994_FJ217162,E
